2025-11-06 10:34:22.477 [main] INFO  c.d2dev.springai.SpringAiApplication - Starting SpringAiApplication using Java 17.0.11 with PID 39076 (C:\OneDrive\Projects\spring-ai\spring-ai\target\classes started by jongsung park in C:\OneDrive\Projects\spring-ai\spring-ai)
2025-11-06 10:34:22.484 [main] DEBUG c.d2dev.springai.SpringAiApplication - Running with Spring Boot v3.3.2, Spring v6.1.11
2025-11-06 10:34:22.485 [main] INFO  c.d2dev.springai.SpringAiApplication - The following 1 profile is active: "local"
2025-11-06 10:34:25.016 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-11-06 10:34:25.031 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-11-06 10:34:25.033 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-11-06 10:34:25.033 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.26]
2025-11-06 10:34:25.221 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-11-06 10:34:25.225 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2435 ms
2025-11-06 10:34:26.532 [main] INFO  o.s.ai.vectorstore.PgVectorStore - Using the vector table name: vector_store. Is empty: false
2025-11-06 10:34:26.537 [main] INFO  o.s.ai.vectorstore.PgVectorStore - Initializing PGVectorStore schema for table: vector_store in schema: public
2025-11-06 10:34:26.538 [main] INFO  o.s.ai.vectorstore.PgVectorStore - vectorTableValidationsEnabled false
2025-11-06 10:34:27.199 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-11-06 10:34:27.211 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-11-06 10:34:27.218 [main] INFO  c.d2dev.springai.SpringAiApplication - Started SpringAiApplication in 5.716 seconds (process running for 9.586)
2025-11-06 10:35:31.284 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-11-06 10:35:31.284 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-11-06 10:35:31.286 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2025-11-06 11:14:37.929 [main] INFO  c.d.s.SpringAiApplicationTests - Starting SpringAiApplicationTests using Java 17.0.11 with PID 36892 (started by jongsung park in C:\OneDrive\Projects\spring-ai\spring-ai)
2025-11-06 11:14:37.929 [main] DEBUG c.d.s.SpringAiApplicationTests - Running with Spring Boot v3.3.2, Spring v6.1.11
2025-11-06 11:14:37.930 [main] INFO  c.d.s.SpringAiApplicationTests - The following 1 profile is active: "local"
2025-11-06 11:14:40.954 [main] INFO  o.s.ai.vectorstore.PgVectorStore - Using the vector table name: vector_store. Is empty: false
2025-11-06 11:14:40.969 [main] INFO  o.s.ai.vectorstore.PgVectorStore - Initializing PGVectorStore schema for table: vector_store in schema: public
2025-11-06 11:14:40.970 [main] INFO  o.s.ai.vectorstore.PgVectorStore - vectorTableValidationsEnabled false
2025-11-06 11:14:41.829 [main] INFO  c.d.s.SpringAiApplicationTests - Started SpringAiApplicationTests in 4.177 seconds (process running for 5.685)
2025-11-06 11:49:09.784 [main] INFO  c.d2dev.springai.SpringAiApplication - Starting SpringAiApplication using Java 17.0.11 with PID 48012 (C:\OneDrive\Projects\spring-ai\spring-ai\target\classes started by jongsung park in C:\OneDrive\Projects\spring-ai\spring-ai)
2025-11-06 11:49:09.785 [main] DEBUG c.d2dev.springai.SpringAiApplication - Running with Spring Boot v3.3.2, Spring v6.1.11
2025-11-06 11:49:09.785 [main] INFO  c.d2dev.springai.SpringAiApplication - The following 1 profile is active: "local"
2025-11-06 11:49:10.481 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-11-06 11:49:10.487 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-11-06 11:49:10.487 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-11-06 11:49:10.487 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.26]
2025-11-06 11:49:10.526 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-11-06 11:49:10.527 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 628 ms
2025-11-06 11:49:10.843 [main] INFO  o.s.ai.vectorstore.PgVectorStore - Using the vector table name: vector_store. Is empty: false
2025-11-06 11:49:10.845 [main] INFO  o.s.ai.vectorstore.PgVectorStore - Initializing PGVectorStore schema for table: vector_store in schema: public
2025-11-06 11:49:10.845 [main] INFO  o.s.ai.vectorstore.PgVectorStore - vectorTableValidationsEnabled false
2025-11-06 11:49:11.010 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-11-06 11:49:11.016 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-11-06 11:49:11.021 [main] INFO  c.d2dev.springai.SpringAiApplication - Started SpringAiApplication in 1.52 seconds (process running for 1.878)
2025-11-06 11:49:14.757 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-11-06 11:49:14.757 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-11-06 11:49:14.758 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2025-11-06 11:49:29.860 [main] INFO  c.d.s.SpringAiApplicationTests - Starting SpringAiApplicationTests using Java 17.0.11 with PID 47436 (started by jongsung park in C:\OneDrive\Projects\spring-ai\spring-ai)
2025-11-06 11:49:29.861 [main] DEBUG c.d.s.SpringAiApplicationTests - Running with Spring Boot v3.3.2, Spring v6.1.11
2025-11-06 11:49:29.862 [main] INFO  c.d.s.SpringAiApplicationTests - The following 1 profile is active: "local"
2025-11-06 11:49:33.167 [main] INFO  o.s.ai.vectorstore.PgVectorStore - Using the vector table name: vector_store. Is empty: false
